date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:03	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2008:23:40%20GMT	https://www.schoolaura.com/robots.txt		(from )
13:54:04	59129/59129	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:02%20GMT	https://www.schoolaura.com/	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/index.html	(from )
13:54:04	49/49	---M--	200	added ('OK')	text/css	etag:%22183f69b7ab5cd91:0%22	https://www.schoolaura.com/Content/new_assets/css/color.css	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/css/color.css	(from https://www.schoolaura.com/)
13:54:05	1374/1374	---M--	200	added ('OK')	text/css	etag:%22226669b7ab5cd91:0%22	https://www.schoolaura.com/Content/new_assets/css/reset.css	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/css/reset.css	(from https://www.schoolaura.com/)
13:54:06	118134/118134	---M--	200	added ('OK')	text/css	etag:%2250b469b7ab5cd91:0%22	https://www.schoolaura.com/Content/new_assets/css/style.css	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/css/style.css	(from https://www.schoolaura.com/)
13:54:06	763/763	---M--	200	added ('OK')	text/css	etag:%227126ab7ab5cd91:0%22	https://www.schoolaura.com/Content/new_assets/css/typography.css	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/css/typography.css	(from https://www.schoolaura.com/)
13:54:06	5394/5394	---M--	200	added ('OK')	image/x-icon	etag:%22642e412cf3d81:0%22	https://www.schoolaura.com/Content/assets/images/favicon.ico	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/assets/images/favicon.ico	(from https://www.schoolaura.com/)
13:54:07	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/School%20Aura/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://www.schoolaura.com/)
13:54:07	161409/161409	---MCZ	200	added ('OK')	text/css	etag:W/%2227681-LKxK/BIJg5IUESlr1Oj9ipS6I34%22	https://cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/School%20Aura/cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	(from https://www.schoolaura.com/)
13:54:07	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/School%20Aura/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.schoolaura.com/)
13:54:08	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%226494c7bb-423%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/School%20Aura/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://www.schoolaura.com/)
13:54:08	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/School%20Aura/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://www.schoolaura.com/)
13:54:09	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Thu,%2006%20Mar%202025%2008:24:08%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/School%20Aura/translate.google.com/translate_a/element.aa0d8.delayed	(from https://www.schoolaura.com/)
13:54:09	79321/79321	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Mar%202025%2008:24:09%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/School%20Aura/translate.google.com/translate_a/elementa0d8.js	(from https://www.schoolaura.com/)
13:54:09	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%22808705b151d51:0%22	https://ajax.aspnetcdn.com/ajax/jQuery/jquery-3.4.1.min.js	C:/My%20Web%20Sites/School%20Aura/ajax.aspnetcdn.com/ajax/jQuery/jquery-3.4.1.min.js	(from https://www.schoolaura.com/)
13:54:10	1215/1215	---M--	200	added ('OK')	application/javascript	etag:%22cdf4ea1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/script/main.js	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/script/main.js	(from https://www.schoolaura.com/)
13:54:10	27933/27933	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:08%20GMT	https://www.schoolaura.com/account/login	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/account/login.html	(from https://www.schoolaura.com/)
13:54:11	29794/29794	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:09%20GMT	https://www.schoolaura.com/account/register	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/account/register.html	(from https://www.schoolaura.com/)
13:54:11	13633/13633	---M--	200	added ('OK')	image/png	etag:%22b650f212cf3d81:0%22	https://www.schoolaura.com/Content/assets/images/logo_school.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/assets/images/logo_school.png	(from https://www.schoolaura.com/)
13:54:12	34922/34922	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:10%20GMT	https://www.schoolaura.com/exam?title=1st-12th-exam&catid=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/exam6a9f.html	(from https://www.schoolaura.com/)
13:54:13	29202/29202	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:10%20GMT	https://www.schoolaura.com/exam?title=competitive-exam&catid=2	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/examc68d.html	(from https://www.schoolaura.com/)
13:54:13	25273/25273	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:11%20GMT	https://www.schoolaura.com/exam?title=entrance-exam&catid=3	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/examb195.html	(from https://www.schoolaura.com/)
13:54:14	35086/35086	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:11%20GMT	https://www.schoolaura.com/course?title=1st-12th-courses&catid=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/course9cbf.html	(from https://www.schoolaura.com/)
13:54:14	22375/22375	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:12%20GMT	https://www.schoolaura.com/course?title=competitive-courses&catid=2	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/coursea8fc.html	(from https://www.schoolaura.com/)
13:54:15	22495/22495	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:12%20GMT	https://www.schoolaura.com/course?title=entrance-courses&catid=3	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/course9018.html	(from https://www.schoolaura.com/)
13:54:15	31255/31255	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:13%20GMT	https://www.schoolaura.com/find-tutor	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/find-tutor.html	(from https://www.schoolaura.com/)
13:54:16	22635/22635	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:13%20GMT	https://www.schoolaura.com/blogs	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/blogs.html	(from https://www.schoolaura.com/)
13:54:17	26235/26235	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:15%20GMT	https://www.schoolaura.com/contact	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/contact.html	(from https://www.schoolaura.com/)
13:54:18	20205/20205	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:16%20GMT	https://www.schoolaura.com/home/entrance_solutions	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/home/entrance_solutions.1a.delayed	(from https://www.schoolaura.com/)
13:54:19	17232/17232	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:16%20GMT	https://www.schoolaura.com/home/competitive_solutions	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/home/competitive_solutions.html	(from https://www.schoolaura.com/)
13:54:19	17232/17232	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:24:17%20GMT	https://www.schoolaura.com/home/school_solutions	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/home/school_solutions.html	(from https://www.schoolaura.com/)
13:54:20	16638/16638	---M--	200	added ('OK')	image/png	etag:%223ce3b81dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/header/user-img.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/header/user-img.png	(from https://www.schoolaura.com/)
13:54:20	118/118	---MC-	302	error ('Found')	text/html	date:Thu,%2006%20Mar%202025%2008:24:19%20GMT	https://www.schoolaura.com/post	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/post.1e.delayed	(from https://www.schoolaura.com/)
13:54:21	118/118	---MC-	302	error ('Found')	text/html	date:Thu,%2006%20Mar%202025%2008:24:19%20GMT	https://www.schoolaura.com/parent	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/parent.1f.delayed	(from https://www.schoolaura.com/)
